state,issues mentioning wk,issues mentioning pr,issues mentioning gd
VA,28,32,20
CO,3,5,2
DE,23,42,26
MD,15,40,7
CT,40,72,44
TX,13,41,31
LA,4,7,4
MT,76,165,87
GA,37,59,31
PA,48,67,76
NV,6,12,27
NY,60,61,46
MO,40,29,37
ME,15,38,19
NE,66,82,67
KY,27,51,26
PR,1,1,0
OR,31,72,28
WA,39,76,61
FL,0,0,0
IN,54,96,58
CA,97,192,117
MS,14,21,14
WI,17,30,31
OK,5,1,1
IL,24,58,13
UT,57,95,72
AZ,58,77,73
OH,14,29,23
NM,11,16,14
SC,34,34,18
AR,8,6,7
MI,49,49,37
HI,2,4,1
ID,22,26,30
TN,33,58,33
DC,80,109,73
NC,27,33,18
IA,4,9,4
KS,78,132,100
MN,82,189,111
VT,11,12,21
WV,41,55,71
ND,45,99,68
NJ,2,2,7
SD,65,118,78
