state	issues mentioning wk	issues mentioning pr	issues mentioning gd	issues mentioning wk+pr+gd
SD	65	118	78	261
KS	78	132	100	310
ME	15	38	19	72
VT	11	12	21	44
ID	22	26	30	78
UT	57	95	72	224
WA	39	76	61	176
VA	28	32	20	80
IL	24	58	13	95
MN	82	189	111	382
HI	2	4	1	7
TX	13	41	31	85
PA	48	67	76	191
LA	4	7	4	15
IA	4	9	4	17
NE	66	82	67	215
NM	11	16	14	41
FL	0	0	0	0
MS	14	21	14	49
CO	3	5	2	10
AR	8	6	7	21
TN	33	58	33	124
OR	31	72	28	131
AZ	58	77	73	208
GA	37	59	31	127
WV	41	55	71	167
NJ	2	2	7	11
WI	17	30	31	78
DC	80	109	73	262
DE	23	42	26	91
PR	1	1	0	2
IN	54	96	58	208
MO	40	29	37	106
MI	49	49	37	135
MT	76	165	87	328
OH	14	29	23	66
ND	45	99	68	212
CA	97	192	117	406
OK	5	1	1	7
NC	27	33	18	78
SC	34	34	18	86
NY	60	61	46	167
KY	27	51	26	104
CT	40	72	44	156
NV	6	12	27	45
MD	15	40	7	62
