newsloc	newspaper	location	issues mentioning wk	issues mentioning pr	issues mentioning gd
daily-yellowstone-journal_miles-city,-mont.	daily-yellowstone-journal	miles-city,-mont.	5	33	2
western-liberal_lordsburg,-n.m.	western-liberal	lordsburg,-n.m.	0	0	1
mexico-weekly-ledger_mexico,-mo.	mexico-weekly-ledger	mexico,-mo.	2	1	2
the-columbus-journal_columbus,-neb.	the-columbus-journal	columbus,-neb.	4	5	3
the-irish-standard_minneapolis,-minn.-;	the-irish-standard	minneapolis,-minn.-;	2	8	8
the-camden-chronicle_camden,-tenn.	the-camden-chronicle	camden,-tenn.	2	2	1
the-hood-river-glacier_hood-river,-or.	the-hood-river-glacier	hood-river,-or.	0	0	0
the-columbian_bloomsburg,-pa.	the-columbian	bloomsburg,-pa.	1	1	2
der-deutsche-correspondent_baltimore,-md.	der-deutsche-correspondent	baltimore,-md.	10	33	0
the-people's-journal_pickens,-s.c.	the-people's-journal	pickens,-s.c.	0	0	0
the-true-northerner_paw-paw,-mich.	the-true-northerner	paw-paw,-mich.	6	0	6
brenham-weekly-banner_brenham,-tex.	brenham-weekly-banner	brenham,-tex.	1	2	0
wheeling-sunday-register_wheeling,-w.-va.	wheeling-sunday-register	wheeling,-w.-va.	4	6	10
the-enterprise_wellington,-ohio	the-enterprise	wellington,-ohio	2	3	1
the-newtown-bee_newtown,-conn.	the-newtown-bee	newtown,-conn.	0	0	4
iron-county-news_cedar-city,-utah	iron-county-news	cedar-city,-utah	0	0	0
st-johnsbury-caledonian_st.-johnsbury,-vt.	st-johnsbury-caledonian	st.-johnsbury,-vt.	0	1	2
the-news-herald_hillsboro,-highland-co.,-ohio	the-news-herald	hillsboro,-highland-co.,-ohio	1	4	6
weekly-independent_elko,-nev.	weekly-independent	elko,-nev.	1	1	2
the-weekly-examiner_hartford,-conn.	the-weekly-examiner	hartford,-conn.	0	1	0
the-marlboro-democrat_bennettsville,-s.c.	the-marlboro-democrat	bennettsville,-s.c.	0	0	0
the-yakima-herald_north-yakima,-w.t.-[wash.]	the-yakima-herald	north-yakima,-w.t.-[wash.]	0	3	4
the-southern-herald_liberty,-miss.	the-southern-herald	liberty,-miss.	0	0	2
the-anaconda-standard_anaconda,-mont.	the-anaconda-standard	anaconda,-mont.	24	23	29
the-holt-county-sentinel_oregon,-mo.	the-holt-county-sentinel	oregon,-mo.	3	2	1
the-morning-news_savannah,-ga.	the-morning-news	savannah,-ga.	37	59	31
freie-presse-für-texas_san-antonio,-tex.	freie-presse-für-texas	san-antonio,-tex.	3	6	0
sacramento-daily-record-union_sacramento-[calif.]	sacramento-daily-record-union	sacramento-[calif.]	13	37	27
the-laurens-advertiser_laurens,-s.c.	the-laurens-advertiser	laurens,-s.c.	0	0	0
connecticut-western-news_salisbury,-litchfield-co.,-conn.	connecticut-western-news	salisbury,-litchfield-co.,-conn.	1	5	3
clinch-valley-news_jeffersonville,-va.	clinch-valley-news	jeffersonville,-va.	0	0	0
the-greenville-times_greenville,-miss.	the-greenville-times	greenville,-miss.	2	1	1
the-farmers'-union_memphis,-mo.	the-farmers'-union	memphis,-mo.	3	2	0
the-pioche-weekly-record_pioche,-nev.	the-pioche-weekly-record	pioche,-nev.	2	0	2
le-meschacébé_[lucy]-la.	le-meschacébé	[lucy]-la.	0	0	0
st-paul-daily-globe_saint-paul,-minn.	st-paul-daily-globe	saint-paul,-minn.	41	88	69
the-pascagoula-democrat-star_pascagoula,-miss.	the-pascagoula-democrat-star	pascagoula,-miss.	0	0	0
the-florida-agriculturist_deland,-fla.	the-florida-agriculturist	deland,-fla.	0	0	0
the-windham-county-reformer_battleboro,-vt.	the-windham-county-reformer	battleboro,-vt.	1	0	2
la-correspondencia-de-puerto-rico_san-juan,-p.r.	la-correspondencia-de-puerto-rico	san-juan,-p.r.	0	0	0
the-caucasian_clinton,-n.c.	the-caucasian	clinton,-n.c.	0	0	1
staunton-spectator_staunton,-va.	staunton-spectator	staunton,-va.	2	5	2
the-newberry-herald-and-news_newberry,-s.c.	the-newberry-herald-and-news	newberry,-s.c.	3	5	1
the-weekly-register_point-pleasant,-va.-[w.-va.]	the-weekly-register	point-pleasant,-va.-[w.-va.]	0	0	4
abilene-weekly-reflector_abilene,-kan.	abilene-weekly-reflector	abilene,-kan.	7	9	8
the-superior-times_superior,-wis.	the-superior-times	superior,-wis.	2	3	3
essex-county-herald_guildhall,-vt.	essex-county-herald	guildhall,-vt.	1	3	2
orange-county-observer_hillsborough,-n.c.	orange-county-observer	hillsborough,-n.c.	0	0	0
butler-citizen_butler,-pa.	butler-citizen	butler,-pa.	0	1	0
the-sedalia-weekly-bazoo_sedalia,-mo.	the-sedalia-weekly-bazoo	sedalia,-mo.	5	3	4
the-stark-county-democrat_canton,-ohio	the-stark-county-democrat	canton,-ohio	0	4	4
tombstone-daily-prospector_tombstone,-ariz.	tombstone-daily-prospector	tombstone,-ariz.	11	13	8
the-aegis-&-intelligencer_bel-air,-md.	the-aegis-&-intelligencer	bel-air,-md.	1	2	1
the-maryville-times_maryville,-tenn.	the-maryville-times	maryville,-tenn.	2	0	0
democratic-northwest_napoleon,-ohio	democratic-northwest	napoleon,-ohio	3	8	1
the-meeker-herald_meeker,-colo.	the-meeker-herald	meeker,-colo.	1	0	0
the-brookhaven-leader_brookhaven,-miss.	the-brookhaven-leader	brookhaven,-miss.	3	6	1
dakota-farmers'-leader_canton,-s.d.	dakota-farmers'-leader	canton,-s.d.	3	4	5
perrysburg-journal_perrysburg,-wood-co.,-o.-[ohio]	perrysburg-journal	perrysburg,-wood-co.,-o.-[ohio]	1	2	1
hopkinsville-kentuckian_hopkinsville,-ky.	hopkinsville-kentuckian	hopkinsville,-ky.	0	0	2
the-hot-springs-star_hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]	the-hot-springs-star	hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]	6	11	4
st-landry-democrat_opelousas,-la.	st-landry-democrat	opelousas,-la.	0	1	0
the-national-tribune_washington,-d.c.	the-national-tribune	washington,-d.c.	5	4	5
little-falls-transcript_little-falls,-morrison-county,-minn.	little-falls-transcript	little-falls,-morrison-county,-minn.	1	0	2
new-york-tribune_new-york-[n.y.]	new-york-tribune	new-york-[n.y.]	11	22	2
capital-city-courier_lincoln,-neb.	capital-city-courier	lincoln,-neb.	2	0	3
washington-standard_olympia,-wash.-territory	washington-standard	olympia,-wash.-territory	1	1	5
boletín-mercantil-de-puerto-rico_san-juan,-p.r.	boletín-mercantil-de-puerto-rico	san-juan,-p.r.	1	1	0
the-daily-morning-astorian_astoria,-oregon	the-daily-morning-astorian	astoria,-oregon	2	6	2
the-prison-mirror_stillwater,-minn.	the-prison-mirror	stillwater,-minn.	1	0	1
evening-capital_annapolis,-md.	evening-capital	annapolis,-md.	1	0	2
griggs-courier_cooperstown,-griggs-co.,-dak.-[n.d.]	griggs-courier	cooperstown,-griggs-co.,-dak.-[n.d.]	5	11	7
macon-beacon_macon,-miss.	macon-beacon	macon,-miss.	2	5	2
the-durham-daily-globe_durham,-n.c.	the-durham-daily-globe	durham,-n.c.	0	0	0
oxford-democrat_paris,-me.	oxford-democrat	paris,-me.	0	0	0
the-arizona-sentinel_arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]	the-arizona-sentinel	arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]	0	1	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district_thibodaux,-lna.-[i.e.-la.]	the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	thibodaux,-lna.-[i.e.-la.]	0	0	1
the-farmers'-alliance_lincoln,-nebraska	the-farmers'-alliance	lincoln,-nebraska	3	4	1
the-diamond-drill_crystal-falls,-iron-county,-mich.	the-diamond-drill	crystal-falls,-iron-county,-mich.	1	2	2
the-sun_morris,-stevens-county,-minn.	the-sun	morris,-stevens-county,-minn.	4	6	4
nevada-county-picayune_prescott,-nev.-county,-ark.	nevada-county-picayune	prescott,-nev.-county,-ark.	1	0	1
barbour-county-index_medicine-lodge,-kan.	barbour-county-index	medicine-lodge,-kan.	0	0	1
the-cape-girardeau-democrat_cape-girardeau,-mo.	the-cape-girardeau-democrat	cape-girardeau,-mo.	0	1	2
desoto-times_hernando,-miss.	desoto-times	hernando,-miss.	0	0	1
