newsloc	newspaper	location	state	issues mentioning wk	issues mentioning pr	issues mentioning gd
daily-yellowstone-journal_miles-city,-mont.	daily-yellowstone-journal	miles-city,-mont.	MT	5	33	2
western-liberal_lordsburg,-n.m.	western-liberal	lordsburg,-n.m.	NM	0	0	1
mexico-weekly-ledger_mexico,-mo.	mexico-weekly-ledger	mexico,-mo.	MO	2	1	2
the-columbus-journal_columbus,-neb.	the-columbus-journal	columbus,-neb.	NE	4	5	3
the-irish-standard_minneapolis,-minn.-;	the-irish-standard	minneapolis,-minn.-;	MN	2	8	8
the-camden-chronicle_camden,-tenn.	the-camden-chronicle	camden,-tenn.	TN	2	2	1
the-hood-river-glacier_hood-river,-or.	the-hood-river-glacier	hood-river,-or.	OR	0	0	0
the-columbian_bloomsburg,-pa.	the-columbian	bloomsburg,-pa.	PA	1	1	2
der-deutsche-correspondent_baltimore,-md.	der-deutsche-correspondent	baltimore,-md.	MD	10	33	0
the-people's-journal_pickens,-s.c.	the-people's-journal	pickens,-s.c.	SC	0	0	0
the-true-northerner_paw-paw,-mich.	the-true-northerner	paw-paw,-mich.	MI	6	0	6
brenham-weekly-banner_brenham,-tex.	brenham-weekly-banner	brenham,-tex.	TX	1	2	0
wheeling-sunday-register_wheeling,-w.-va.	wheeling-sunday-register	wheeling,-w.-va.	WV	4	6	10
the-enterprise_wellington,-ohio	the-enterprise	wellington,-ohio	OH	2	3	1
the-newtown-bee_newtown,-conn.	the-newtown-bee	newtown,-conn.	CT	0	0	4
iron-county-news_cedar-city,-utah	iron-county-news	cedar-city,-utah	UT	0	0	0
st-johnsbury-caledonian_st.-johnsbury,-vt.	st-johnsbury-caledonian	st.-johnsbury,-vt.	VT	0	1	2
the-news-herald_hillsboro,-highland-co.,-ohio	the-news-herald	hillsboro,-highland-co.,-ohio	OH	1	4	6
weekly-independent_elko,-nev.	weekly-independent	elko,-nev.	NV	1	1	2
the-weekly-examiner_hartford,-conn.	the-weekly-examiner	hartford,-conn.	CT	0	1	0
the-marlboro-democrat_bennettsville,-s.c.	the-marlboro-democrat	bennettsville,-s.c.	SC	0	0	0
the-yakima-herald_north-yakima,-w.t.-[wash.]	the-yakima-herald	north-yakima,-w.t.-[wash.]	WA	0	3	4
the-southern-herald_liberty,-miss.	the-southern-herald	liberty,-miss.	MS	0	0	2
the-anaconda-standard_anaconda,-mont.	the-anaconda-standard	anaconda,-mont.	MT	24	23	29
the-holt-county-sentinel_oregon,-mo.	the-holt-county-sentinel	oregon,-mo.	MO	3	2	1
the-morning-news_savannah,-ga.	the-morning-news	savannah,-ga.	GA	37	59	31
freie-presse-für-texas_san-antonio,-tex.	freie-presse-für-texas	san-antonio,-tex.	TX	3	6	0
sacramento-daily-record-union_sacramento-[calif.]	sacramento-daily-record-union	sacramento-[calif.]	CA	13	37	27
the-laurens-advertiser_laurens,-s.c.	the-laurens-advertiser	laurens,-s.c.	SC	0	0	0
connecticut-western-news_salisbury,-litchfield-co.,-conn.	connecticut-western-news	salisbury,-litchfield-co.,-conn.	CT	1	5	3
clinch-valley-news_jeffersonville,-va.	clinch-valley-news	jeffersonville,-va.	VA	0	0	0
the-greenville-times_greenville,-miss.	the-greenville-times	greenville,-miss.	MS	2	1	1
the-farmers'-union_memphis,-mo.	the-farmers'-union	memphis,-mo.	MO	3	2	0
the-pioche-weekly-record_pioche,-nev.	the-pioche-weekly-record	pioche,-nev.	NV	2	0	2
le-meschacébé_[lucy]-la.	le-meschacébé	[lucy]-la.	LA	0	0	0
st-paul-daily-globe_saint-paul,-minn.	st-paul-daily-globe	saint-paul,-minn.	MN	41	88	69
the-pascagoula-democrat-star_pascagoula,-miss.	the-pascagoula-democrat-star	pascagoula,-miss.	MS	0	0	0
the-florida-agriculturist_deland,-fla.	the-florida-agriculturist	deland,-fla.	FL	0	0	0
the-windham-county-reformer_battleboro,-vt.	the-windham-county-reformer	battleboro,-vt.	VT	1	0	2
la-correspondencia-de-puerto-rico_san-juan,-p.r.	la-correspondencia-de-puerto-rico	san-juan,-p.r.	PR	0	0	0
the-caucasian_clinton,-n.c.	the-caucasian	clinton,-n.c.	NC	0	0	1
staunton-spectator_staunton,-va.	staunton-spectator	staunton,-va.	VA	2	5	2
the-newberry-herald-and-news_newberry,-s.c.	the-newberry-herald-and-news	newberry,-s.c.	SC	3	5	1
the-weekly-register_point-pleasant,-va.-[w.-va.]	the-weekly-register	point-pleasant,-va.-[w.-va.]	WV	0	0	4
abilene-weekly-reflector_abilene,-kan.	abilene-weekly-reflector	abilene,-kan.	KS	7	9	8
the-superior-times_superior,-wis.	the-superior-times	superior,-wis.	WI	2	3	3
essex-county-herald_guildhall,-vt.	essex-county-herald	guildhall,-vt.	VT	1	3	2
orange-county-observer_hillsborough,-n.c.	orange-county-observer	hillsborough,-n.c.	NC	0	0	0
butler-citizen_butler,-pa.	butler-citizen	butler,-pa.	PA	0	1	0
the-sedalia-weekly-bazoo_sedalia,-mo.	the-sedalia-weekly-bazoo	sedalia,-mo.	MO	5	3	4
