newsloc	newspaper	location	state	issues mentioning wk OR pr OR gd
"desoto-times_hernando,-miss."	desoto-times	"hernando,-miss."	MS	1
"the-newberry-herald-and-news_newberry,-s.c."	the-newberry-herald-and-news	"newberry,-s.c."	SC	8
"richmond-planet_richmond,-va."	richmond-planet	"richmond,-va."	VA	1
"arizona-weekly-journal-miner_prescott,-ariz."	arizona-weekly-journal-miner	"prescott,-ariz."	AZ	6
"the-middleburgh-post_middleburgh,-snyder-co.,-pa."	the-middleburgh-post	"middleburgh,-snyder-co.,-pa."	PA	1
"weekly-graphic_kirksville,-adair-co.,-mo."	weekly-graphic	"kirksville,-adair-co.,-mo."	MO	2
"shepherdstown-register_shepherdstown,-va.-[w.-va.]"	shepherdstown-register	"shepherdstown,-va.-[w.-va.]"	WV	1
"staunton-spectator_staunton,-va."	staunton-spectator	"staunton,-va."	VA	6
"evening-capital_annapolis,-md."	evening-capital	"annapolis,-md."	MD	3
"the-evening-world_new-york,-n.y."	the-evening-world	"new-york,-n.y."	NY	15
"hopkinsville-kentuckian_hopkinsville,-ky."	hopkinsville-kentuckian	"hopkinsville,-ky."	KY	2
"the-windham-county-reformer_battleboro,-vt."	the-windham-county-reformer	"battleboro,-vt."	VT	3
"the-florida-agriculturist_deland,-fla."	the-florida-agriculturist	"deland,-fla."	FL	0
"asheville-daily-citizen_asheville,-n.c."	asheville-daily-citizen	"asheville,-n.c."	NC	25
"the-port-gibson-reveille_port-gibson,-miss."	the-port-gibson-reveille	"port-gibson,-miss."	MS	2
"the-wichita-daily-eagle_wichita,-kan."	the-wichita-daily-eagle	"wichita,-kan."	KS	78
"the-grenada-sentinel_grenada,-miss."	the-grenada-sentinel	"grenada,-miss."	MS	11
"los-cerrillos-rustler_cerrillos,-n.m."	los-cerrillos-rustler	"cerrillos,-n.m."	NM	0
"thomas-county-cat_colby,-kan."	thomas-county-cat	"colby,-kan."	KS	10
"jamestown-weekly-alert_jamestown,-stutsman-county,-d.t.-[n.d.]"	jamestown-weekly-alert	"jamestown,-stutsman-county,-d.t.-[n.d.]"	ND	14
"the-lamar-register_lamar,-colo."	the-lamar-register	"lamar,-colo."	CO	0
"the-hood-river-glacier_hood-river,-or."	the-hood-river-glacier	"hood-river,-or."	OR	0
"lewiston-teller_lewiston,-north-idaho"	lewiston-teller	"lewiston,-north-idaho"	ID	9
"mower-county-transcript_lansing,-minn."	mower-county-transcript	"lansing,-minn."	MN	10
"new-ulm-weekly-review_new-ulm,-minn."	new-ulm-weekly-review	"new-ulm,-minn."	MN	13
"delaware-gazette-and-state-journal_wilmington,-del."	delaware-gazette-and-state-journal	"wilmington,-del."	DE	13
"the-sully-county-watchman_clifton,-dakota-[s.d.]"	the-sully-county-watchman	"clifton,-dakota-[s.d.]"	SD	14
"the-washington-bee_washington,-d.c."	the-washington-bee	"washington,-d.c."	DC	2
"the-united-opinion_bradford,-vt."	the-united-opinion	"bradford,-vt."	VT	3
"the-princeton-union_princeton,-minn."	the-princeton-union	"princeton,-minn."	MN	13
"the-vermont-watchman_montpelier,-vt."	the-vermont-watchman	"montpelier,-vt."	VT	1
"the-forrest-city-times_forrest-city,-ark."	the-forrest-city-times	"forrest-city,-ark."	AR	8
"the-sun_morris,-stevens-county,-minn."	the-sun	"morris,-stevens-county,-minn."	MN	8
"weekly-expositor_brockway-centre,-mich."	weekly-expositor	"brockway-centre,-mich."	MI	6
"the-hawaiian-gazette_honolulu-[oahu,-hawaii]"	the-hawaiian-gazette	"honolulu-[oahu,-hawaii]"	HI	1
"the-times_richmond,-va."	the-times	"richmond,-va."	VA	2
"the-meeker-herald_meeker,-colo."	the-meeker-herald	"meeker,-colo."	CO	1
