newspaper	date	wk
wood-river-times	1890-12-17	0
wheeling-register	1891-01-03	0.0226
the-evening-bulletin	1891-01-23	0.0288
the-state-rights-democrat	1891-01-02	0
the-roanoke-times	1891-03-10	0
indian-chieftain	1891-01-22	0.0189
morning-journal-and-courier	1891-02-14	0
freie-presse-für-texas	1890-12-18	0
nevada-county-picayune	1890-12-04	0
evening-star	1890-11-29	0
the-maryville-times	1891-03-04	0
the-state-rights-democrat	1891-01-16	0.0117
arizona-weekly-journal-miner	1890-12-31	0
wood-river-times	1890-12-03	0
wheeling-register	1891-01-17	0.0146
oakes-weekly-republican	1890-12-05	0
abilene-weekly-reflector	1890-11-20	0
fort-worth-daily-gazette	1890-12-22	0
lewiston-teller	1891-01-08	0
the-madison-daily-leader	1891-01-12	0.0239
pittsburg-dispatch	1891-01-07	0.0263
the-sun	1890-11-22	0
freie-presse-für-texas	1890-12-24	0
morning-journal-and-courier	1891-02-28	0
flat-top-monitor	1891-03-26	0
evening-star	1890-11-01	0
telegram-herald	1891-02-16	0
shepherdstown-register	1891-02-20	0
evening-star	1890-11-15	0
telegram-herald	1891-02-02	0
freie-presse-für-texas	1890-12-30	0
news-and-citizen	1890-11-13	0
the-madison-daily-leader	1891-01-06	0.0226
pittsburg-dispatch	1891-01-13	0.0175
dakota-farmers'-leader	1891-01-08	0
arizona-republican	1890-12-22	0
fair-play	1891-02-07	0
the-indianapolis-journal	1891-01-09	0.0342
the-salt-lake-herald	1890-11-11	0
workmen's-advocate	1890-11-01	0
the-democrat	1891-01-01	0
the-critic	1891-02-11	0
the-cambria-freeman	1890-12-12	0
alpena-weekly-argus	1891-02-11	0
morning-appeal	1890-12-21	0
jamestown-weekly-alert	1890-11-13	0
evening-journal	1891-03-07	0
the-florida-agriculturist	1890-11-26	0
the-record-union	1891-01-20	0.0185
the-jersey-city-news	1891-02-09	0
lyon-county-times	1891-02-21	0
the-st	1890-11-29	0
baxter-springs-news	1890-12-13	0
the-daily-state-chronicle	1890-11-21	0
evening-journal	1891-03-13	0
the-state-republican	1890-12-11	0
workmen's-advocate	1890-11-15	0
the-democrat	1891-01-15	0
the-critic	1891-02-05	0
herald-and-news	1891-01-08	0.0104
the-daily-bulletin	1891-02-28	0
the-red-cloud-chief	1890-11-28	0
the-salt-lake-herald	1890-11-05	0
the-mitchell-capital	1890-12-19	0
freeland-tribune	1891-03-19	0
mexico-weekly-ledger	1891-02-26	0
the-national-tribune	1891-02-12	0
omaha-daily-bee	1891-02-11	0
the-western-sentinel	1891-01-08	0
semi-weekly-interior-journal	1891-01-27	0
the-daily-state-chronicle	1890-11-09	0
ellsworth-american	1890-11-27	0
the-hickman-courier	1891-03-27	0
the-daily-morning-astorian	1890-12-17	0
the-portland-daily-press	1891-01-27	0
brenham-weekly-banner	1891-02-12	0
morning-appeal	1890-12-09	0
the-daily-morning-astorian	1890-12-03	0
the-jersey-city-news	1891-02-21	0
democratic-northwest	1891-03-12	0
virginia-free-press	1890-11-12	0
the-indianapolis-journal	1891-01-21	0.0148
the-daily-bulletin	1891-02-14	0
the-red-cloud-chief	1890-11-14	0
omaha-daily-bee	1891-02-05	0
the-democrat	1891-01-29	0
workmen's-advocate	1890-11-29	0
la-correspondencia-de-puerto-rico	1891-02-01	0
the-lexington-record	1891-03-01	0
daily-tobacco-leaf-chronicle	1891-02-09	0
the-great-west	1891-03-27	0
waterbury-evening-democrat	1891-02-09	0
wood-river-times	1891-03-31	0
richmond-dispatch	1891-01-20	0
wood-river-times	1891-03-25	0
the-livingston-enterprise	1891-03-07	0
the-iola-register	1891-02-27	0
butler-citizen	1890-12-05	0
oxford-democrat	1890-11-04	0
the-pioche-weekly-record	1891-01-24	0
the-mccook-tribune	1890-12-19	0
the-cecil-whig	1891-02-14	0
asheville-daily-citizen	1891-02-19	0
weekly-expositor	1891-03-06	0
the-helena-independent	1891-02-28	0
griggs-courier	1891-01-23	0.0101
la-correspondencia-de-puerto-rico	1891-02-15	0
st	1890-11-29	0
the-forrest-city-times	1891-03-27	0
fergus-falls-ugeblad	1891-03-04	0
santa-fe-daily-new-mexican	1891-02-17	0
der-deutsche-correspondent	1891-01-23	0
the-anaconda-standard	1891-01-07	0.0109
freie-presse-für-texas	1891-03-02	0
daily-independent	1891-03-26	0
st	1890-11-01	0
richmond-dispatch	1891-01-08	0
the-vermont-watchman	1891-03-11	0
wessington-springs-herald	1891-03-27	0
arizona-republican	1891-03-10	0
frostburg-mining-journal	1891-01-24	0
idaho-semi-weekly-world	1891-02-10	0
daily-tobacco-leaf-chronicle	1891-02-21	0
waterbury-evening-democrat	1891-02-21	0
arizona-republican	1891-03-04	0
wood-river-times	1891-03-19	0
the-helena-independent	1891-02-14	0
the-anaconda-standard	1891-01-13	0.0187
freie-presse-für-texas	1891-03-16	0
st	1890-11-15	0
the-evening-world	1891-01-26	0
santa-fe-daily-new-mexican	1891-02-03	0
the-cecil-whig	1891-02-28	0
asheville-daily-citizen	1891-02-25	0
the-pacific-commercial-advertiser	1890-11-06	0
baxter-springs-news	1891-03-21	0
the-times	1891-02-18	0
the-republican-journal	1891-02-05	0
evening-capital-journal	1891-01-21	0
morning-appeal	1891-03-07	0
new-york-tribune	1891-02-18	0
los-angeles-herald	1890-11-24	0
the-morning-call	1891-02-24	0
juniata-sentinel-and-republican	1891-01-14	0
dziennik-chicagoski	1891-01-17	0
the-seattle-post-intelligencer	1891-01-31	0.0118
alexandria-gazette	1891-01-08	0.01
dziennik-chicagoski	1891-01-03	0
the-seattle-post-intelligencer	1891-01-25	0.0137
barton-county-democrat	1891-01-22	0
union-county-courier	1891-03-20	0
los-angeles-herald	1890-11-30	0
the-morning-news	1891-02-20	0
tombstone-daily-prospector	1891-01-21	0
rock-island-daily-argus	1891-01-23	0.0168
the-cambria-freeman	1891-03-20	0
morning-appeal	1891-03-13	0
weekly-graphic	1890-12-05	0
the-magnolia-gazette	1891-02-14	0
the-wheeling-daily-intelligencer	1891-01-23	0.0216
the-weekly-messenger	1890-12-20	0
the-midland-journal	1891-02-13	0
the-pacific-commercial-advertiser	1890-11-12	0
the-hartford-herald	1891-03-04	0
the-weekly-examiner	1891-01-17	0.0176
crittenden-press	1891-01-22	0.0139
new-york-tribune	1891-02-24	0
the-times	1891-02-24	0
mower-county-transcript	1890-11-26	0
alexandria-gazette	1891-01-20	0
tombstone-daily-prospector	1891-01-09	0.0215
the-morning-news	1891-02-08	0
los-angeles-herald	1890-11-18	0
the-wichita-daily-eagle	1891-01-13	0.0193
arizona-weekly-citizen	1891-01-10	0.0569
the-morning-call	1891-02-18	0
juniata-sentinel-and-republican	1891-01-28	0
the-wichita-daily-eagle	1891-01-07	0.0271
the-brookhaven-leader	1891-03-19	0
yorkville-enquirer	1890-11-12	0
the-seattle-post-intelligencer	1891-01-19	0.0188
the-yakima-herald	1890-11-13	0
evening-capital-journal	1891-01-09	0.011
washington-standard	1891-03-27	0
the-watchman-and-southron	1890-11-05	0
evening-journal	1890-12-09	0
the-magnolia-gazette	1891-02-28	0
evening-capital	1890-11-22	0
the-bennington-banner	1891-02-12	0
arizona-republican	1891-01-29	0
richmond-dispatch	1891-03-31	0
the-vermont-watchman	1891-01-28	0
sacramento-daily-record-union	1890-12-07	0
wheeling-register	1890-12-20	0
pittsburg-dispatch	1890-12-18	0
new-ulm-weekly-review	1890-11-19	0
south-branch-intelligencer	1891-02-20	0
the-columbian	1890-11-14	0
the-dalles-daily-chronicle	1891-02-23	0
telegram-herald	1890-11-09	0
perrysburg-journal	1891-02-07	0
vermont-phœnix	1891-02-13	0
the-globe-republican	1891-02-18	0
richmond-dispatch	1891-03-25	0
wood-river-times	1891-01-20	0
sacramento-daily-record-union	1890-12-13	0
the-madison-daily-leader	1890-12-19	0
the-manitowoc-pilot	1891-01-29	0
wood-river-times	1891-01-08	0
the-vermont-watchman	1891-01-14	0
the-sun	1891-02-01	0
pittsburg-dispatch	1890-12-24	0
the-madison-daily-leader	1890-12-31	0.0115
the-kinsley-graphic	1891-03-27	0
the-manitowoc-pilot	1891-01-01	0
arizona-republican	1891-01-15	0.0391
frostburg-mining-journal	1891-03-21	0
bismarck-weekly-tribune	1890-12-26	0
the-columbian	1890-11-28	0
der-deutsche-correspondent	1891-03-26	0
the-anaconda-standard	1891-03-02	0
the-prison-mirror	1890-12-04	0
